# Accepted measurements
gate,x,y,z
1,0.453,0.7974,1.1306
1,0.4695,0.8021,1.1381
1,0.5873,0.7336,1.172
1,0.5754,0.7255,1.1821
1,0.5984,0.7322,1.1704
1,0.5977,0.7219,1.1749
2,-0.5881,1.1162,1.296
2,-0.7717,1.0603,1.2296
2,-0.7417,0.6375,1.2961
2,-0.8271,0.5086,1.3174
2,-0.821,0.9744,1.325
2,-0.6959,0.9984,1.3329
3,-1.6868,-0.0504,1.3635
3,-1.7104,-0.037,1.3663
3,-1.586,-0.0486,1.3636
3,-1.5325,-0.0388,1.3679
3,-1.4691,-0.0318,1.3932
4,-0.6954,-0.9171,1.2518
4,-0.6887,-0.9752,1.2691
4,-0.7001,-1.0351,1.2389
4,-0.686,-0.9538,1.2702
4,0.5863,-0.9506,1.2477
4,-0.6655,-0.9371,1.2929
5,0.4181,-1.0707,1.2731
5,0.4,-1.0217,1.2805
5,0.4263,-1.0898,1.2886
5,0.4704,-1.1218,1.2838
5,0.4721,-1.0928,1.2832

# Final Kalman estimates
gate,x,y,z,theta,width,height
1,0.5651,0.7431,1.1672,-0.4256,0.4809,0.3919
2,-0.7669,0.8057,1.3177,0.4443,0.3013,0.3989
3,-1.564,-0.0421,1.3683,1.3131,0.3682,0.3998
4,-0.5387,-0.9538,1.2769,2.9879,0.3567,0.3963
5,0.4568,-1.0871,1.2834,-2.6434,0.2723,0.3999
